2014-10-03 23:13:55 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:55 upgrade base-passwd:armhf 3.5.26 3.5.26
2014-10-03 23:13:55 status half-configured base-passwd:armhf 3.5.26
2014-10-03 23:13:55 status unpacked base-passwd:armhf 3.5.26
2014-10-03 23:13:55 status half-installed base-passwd:armhf 3.5.26
2014-10-03 23:13:55 status half-installed base-passwd:armhf 3.5.26
2014-10-03 23:13:55 status unpacked base-passwd:armhf 3.5.26
2014-10-03 23:13:55 status unpacked base-passwd:armhf 3.5.26
2014-10-03 23:13:55 install bash:armhf <none> 4.2+dfsg-0.1+deb7u3
2014-10-03 23:13:55 status half-installed bash:armhf 4.2+dfsg-0.1+deb7u3
2014-10-03 23:13:55 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2014-10-03 23:13:55 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2014-10-03 23:13:56 install bsdutils:armhf <none> 1:2.20.1-5.3
2014-10-03 23:13:56 status half-installed bsdutils:armhf 1:2.20.1-5.3
2014-10-03 23:13:56 status unpacked bsdutils:armhf 1:2.20.1-5.3
2014-10-03 23:13:56 status unpacked bsdutils:armhf 1:2.20.1-5.3
2014-10-03 23:13:56 install coreutils:armhf <none> 8.13-3.5
2014-10-03 23:13:56 status half-installed coreutils:armhf 8.13-3.5
2014-10-03 23:13:57 status unpacked coreutils:armhf 8.13-3.5
2014-10-03 23:13:57 status unpacked coreutils:armhf 8.13-3.5
2014-10-03 23:13:57 install cpio:armhf <none> 2.11+dfsg-0.1
2014-10-03 23:13:57 status half-installed cpio:armhf 2.11+dfsg-0.1
2014-10-03 23:13:57 status unpacked cpio:armhf 2.11+dfsg-0.1
2014-10-03 23:13:57 status unpacked cpio:armhf 2.11+dfsg-0.1
2014-10-03 23:13:57 install dash:armhf <none> 0.5.7-3
2014-10-03 23:13:57 status half-installed dash:armhf 0.5.7-3
2014-10-03 23:13:58 status unpacked dash:armhf 0.5.7-3
2014-10-03 23:13:58 status unpacked dash:armhf 0.5.7-3
2014-10-03 23:13:58 upgrade debconf:all 1.5.49 1.5.49
2014-10-03 23:13:58 status half-configured debconf:all 1.5.49
2014-10-03 23:13:58 status unpacked debconf:all 1.5.49
2014-10-03 23:13:58 status half-installed debconf:all 1.5.49
2014-10-03 23:13:59 status half-installed debconf:all 1.5.49
2014-10-03 23:13:59 status unpacked debconf:all 1.5.49
2014-10-03 23:13:59 status unpacked debconf:all 1.5.49
2014-10-03 23:13:59 install debconf-i18n:all <none> 1.5.49
2014-10-03 23:13:59 status half-installed debconf-i18n:all 1.5.49
2014-10-03 23:13:59 status unpacked debconf-i18n:all 1.5.49
2014-10-03 23:13:59 status unpacked debconf-i18n:all 1.5.49
2014-10-03 23:13:59 install debianutils:armhf <none> 4.3.2
2014-10-03 23:13:59 status half-installed debianutils:armhf 4.3.2
2014-10-03 23:13:59 status unpacked debianutils:armhf 4.3.2
2014-10-03 23:13:59 status unpacked debianutils:armhf 4.3.2
2014-10-03 23:14:00 install diffutils:armhf <none> 1:3.2-6
2014-10-03 23:14:00 status half-installed diffutils:armhf 1:3.2-6
2014-10-03 23:14:00 status unpacked diffutils:armhf 1:3.2-6
2014-10-03 23:14:00 status unpacked diffutils:armhf 1:3.2-6
2014-10-03 23:14:00 upgrade dpkg:armhf 1.16.15+rpi1 1.16.15+rpi1
2014-10-03 23:14:00 status half-configured dpkg:armhf 1.16.15+rpi1
2014-10-03 23:14:00 status unpacked dpkg:armhf 1.16.15+rpi1
2014-10-03 23:14:00 status half-installed dpkg:armhf 1.16.15+rpi1
2014-10-03 23:14:01 status half-installed dpkg:armhf 1.16.15+rpi1
2014-10-03 23:14:01 status unpacked dpkg:armhf 1.16.15+rpi1
2014-10-03 23:14:01 status unpacked dpkg:armhf 1.16.15+rpi1
2014-10-03 23:14:01 install e2fslibs:armhf <none> 1.42.5-1.1
2014-10-03 23:14:01 status half-installed e2fslibs:armhf 1.42.5-1.1
2014-10-03 23:14:01 status unpacked e2fslibs:armhf 1.42.5-1.1
2014-10-03 23:14:01 status unpacked e2fslibs:armhf 1.42.5-1.1
2014-10-03 23:14:01 install e2fsprogs:armhf <none> 1.42.5-1.1
2014-10-03 23:14:01 status half-installed e2fsprogs:armhf 1.42.5-1.1
2014-10-03 23:14:01 status unpacked e2fsprogs:armhf 1.42.5-1.1
2014-10-03 23:14:01 status unpacked e2fsprogs:armhf 1.42.5-1.1
2014-10-03 23:14:01 install findutils:armhf <none> 4.4.2-4
2014-10-03 23:14:01 status half-installed findutils:armhf 4.4.2-4
